HR00140 15062918  28.55 127.06
HR00140 15062919  28.55 127.25
HR00141 15063003  29.10 129.25
HR00141 15063004  29.15 129.38
HR00142 15063005  29.60 129.62
HR00142 15063006  29.60 129.62
HR00143 15063005  29.40 129.81
HR00143 15063006  29.45 129.81
HR00143 15063007  29.45 129.81
HR00144 15063006  29.80 129.81
HR00145 15063007  30.00 129.56
HR00145 15063008  30.00 129.81
HR00145 15063009  30.00 129.81
HR00146 15063010  30.20 129.69
HR00147 15070104  32.85 130.56
HR00147 15070105  32.95 130.94
HR00147 15070106  32.95 130.94
HR00147 15070107  32.95 130.94
HR00147 15070108  32.90 130.94
HR00148 15070206  33.15 139.69
HR00148 15070207  33.15 139.62
HR00149 15070209  31.05 134.31
HR00149 15070210  31.05 134.31
HR00150 15070304  30.05 131.81
HR00151 15070305  27.60 126.50
HR00151 15070306  27.60 126.50
HR00151 15070307  27.55 126.50
HR00151 15070308  27.50 126.44
HR00151 15070309  27.40 126.12
HR00151 15070310  27.45 126.19
HR00152 15070306  31.00 134.00
HR00153 15070306  30.80 130.62
HR00154 15070307  27.65 127.06
HR00154 15070308  27.65 127.06
HR00154 15070309  27.70 127.12
HR00155 15070311  31.30 133.38
HR00156 15070312  31.35 133.56
HR00157 15070313  31.55 134.00
HR00158 15070312  29.80 131.69
HR00159 15070313  29.80 131.75
HR00159 15070314  29.85 132.06
HR00159 15070315  29.80 132.06
HR00159 15070316  29.80 132.06
HR00159 15070316  30.45 132.88
HR00160 15070312  28.15 125.31
HR00160 15070313  28.10 125.31
HR00160 15070314  28.20 125.38
HR00161 15070401  32.70 136.50
HR00162 15070715  32.45 128.12
HR00162 15070715  31.80 127.94
HR00164 15070708  31.90 128.06
HR00164 15070709  32.00 128.06
HR00164 15070710  32.05 128.06
HR00164 15070711  32.40 128.25
HR00165 15070712  32.40 128.25
HR00165 15070714  32.30 128.25
HR00166 15070713  32.40 128.25
HR00166 15070714  31.75 127.88
HR00167 15070714  32.10 128.69
HR00168 15070715  32.15 128.69
HR00169 15070717  32.05 128.56
HR00170 15070718  32.05 128.69
HR00170 15070719  32.15 129.06
HR00170 15070720  32.15 129.00
HR00170 15070721  32.20 129.00
HR00170 15070722  32.20 129.00
HR00171 15070717  32.60 128.38
HR00172 15070806  33.40 128.06
HR00173 15070809  33.50 128.12
HR00173 15070810  33.50 128.12
HR00174 15070900  34.65 128.38
HR00175 15071021  23.80 124.50
HR00176 15071107  24.25 129.25
HR00177 15071120  26.95 125.75
HR00177 15071121  26.95 125.75
HR00178 15071303  28.05 125.69
HR00178 15071304  28.05 125.62
HR00179 15071304  28.35 126.38
HR00179 15071305  28.35 126.38
HR00180 15071306  32.15 130.00
HR00180 15071307  32.20 130.06
HR00181 15071310  27.50 125.56
HR00181 15071311  27.75 125.75
HR00182 15071401  31.25 129.19
HR00182 15071402  31.25 129.19
HR00182 15071403  31.25 129.19
HR00183 15071401  29.05 127.56
HR00183 15071402  29.05 127.50
HR00183 15071403  29.10 127.50
HR00183 15071404  29.05 127.44
HR00183 15071405  29.05 127.44
HR00183 15071406  28.90 127.19
HR00184 15071405  27.75 126.50
HR00184 15071406  27.50 126.31
HR00184 15071407  27.50 126.31
HR00184 15071408  27.20 126.12
HR00184 15071409  26.90 125.88
HR00184 15071410  26.75 125.75
HR00185 15071406  28.50 126.12
HR00186 15071407  28.50 126.25
HR00186 15071408  28.50 126.50
HR00186 15071409  28.45 126.38
HR00186 15071410  28.40 126.31
HR00187 15071410  31.90 129.56
HR00188 15071506  22.65 124.38
HR00189 15071606  35.40 139.00
HR00189 15071607  35.40 139.00
HR00189 15071608  35.50 139.00
HR00189 15071609  35.60 139.06
HR00190 15071609  36.15 139.50
HR00191 15071612  37.35 140.81
HR00192 15071613  38.50 142.44
HR00193 15071614  38.55 142.44
HR00194 15071618  33.45 134.12
HR00195 15071619  33.45 134.12
HR00195 15071620  33.45 134.12
HR00195 15071621  33.75 134.31
HR00195 15071622  33.85 134.31
HR00195 15071623  33.85 134.31
HR00195 15071700  33.85 134.31
HR00195 15071701  33.85 134.31
HR00195 15071702  33.70 134.12
HR00195 15071703  33.70 134.12
HR00196 15071704  33.50 134.06
HR00197 15071620  34.15 136.06
HR00197 15071621  34.15 136.06
HR00197 15071622  34.15 136.06
HR00198 15071621  33.75 135.81
HR00198 15071622  33.70 135.62
HR00198 15071623  34.25 136.12
HR00198 15071700  34.25 136.12
HR00198 15071701  33.70 135.62
HR00198 15071702  33.70 135.62
HR00198 15071703  34.20 136.12
HR00198 15071704  34.20 136.12
HR00198 15071705  34.25 136.19
HR00198 15071705  34.05 135.88
HR00198 15071706  34.25 136.19
HR00199 15071700  34.20 134.19
HR00199 15071701  34.20 134.19
HR00200 15071701  33.85 133.38
HR00200 15071702  33.80 133.06
HR00200 15071703  33.85 133.25
HR00201 15071704  33.85 135.25
HR00201 15071705  33.85 135.25
HR00201 15071706  33.90 135.19
HR00201 15071707  33.85 135.25
HR00202 15071705  34.65 134.38
HR00202 15071706  34.70 134.31
HR00202 15071707  34.75 134.69
HR00203 15071708  34.70 134.81
HR00204 15071820  24.50 129.31
HR00205 15071821  24.55 129.38
HR00205 15071822  24.85 129.50
HR00205 15071823  24.90 129.56
HR00205 15071900  24.75 129.44
HR00206 15071901  24.70 128.69
HR00206 15071902  25.05 129.06
HR00206 15071903  25.05 129.06
HR00206 15071904  25.05 128.94
HR00207 15072006  24.50 126.00
HR00208 15072010  26.10 125.50
HR00209 15072011  26.20 125.69
HR00210 15072011  29.45 129.31
HR00211 15072012  29.45 129.31
HR00211 15072013  29.75 129.94
HR00212 15072012  30.20 130.31
HR00212 15072013  30.10 130.19
HR00213 15072014  30.25 130.50
HR00214 15072013  26.30 126.62
HR00214 15072014  26.30 126.62
HR00214 15072015  26.45 127.06
HR00215 15072019  25.95 126.25
HR00215 15072020  25.95 126.31
HR00215 15072021  25.90 126.38
HR00215 15072022  25.90 126.44
HR00215 15072023  25.90 126.44
HR00215 15072100  25.90 126.38
HR00215 15072101  25.90 126.38
HR00215 15072102  25.85 126.38
HR00215 15072103  25.85 126.50
HR00216 15072019  26.65 128.38
HR00216 15072020  26.70 128.44
HR00216 15072021  26.70 128.44
HR00217 15072022  26.70 128.50
HR00218 15072020  29.85 129.62
HR00219 15072021  30.05 129.81
HR00219 15072022  30.05 129.81
HR00219 15072023  30.00 129.88
HR00220 15072100  30.25 130.50
HR00221 15072102  31.10 130.81
HR00221 15072103  31.10 130.81
HR00221 15072104  31.10 130.88
HR00221 15072105  31.40 131.06
HR00222 15072103  25.95 125.62
HR00222 15072104  25.95 125.62
HR00222 15072105  26.00 125.69
HR00222 15072106  26.05 125.75
HR00222 15072107  26.20 125.88
HR00223 15072109  29.65 129.94
HR00223 15072109  29.45 129.50
HR00223 15072110  29.50 129.38
HR00223 15072110  29.65 129.94
HR00223 15072111  29.50 129.44
HR00227 15072105  29.55 129.69
HR00228 15072106  29.55 129.81
HR00228 15072108  29.65 129.81
HR00229 15072107  29.55 129.81
HR00229 15072108  29.45 129.56
HR00230 15072106  29.40 129.44
HR00231 15072109  30.40 129.19
HR00231 15072110  30.40 129.31
HR00232 15072111  30.40 129.38
HR00233 15072112  29.00 129.19
HR00233 15072113  29.00 129.31
HR00233 15072114  29.00 129.31
HR00233 15072115  29.05 129.44
HR00234 15072112  29.35 130.81
HR00235 15072114  30.25 130.12
HR00235 15072115  30.25 130.12
HR00236 15072118  30.90 130.19
HR00236 15072119  30.90 130.69
HR00237 15072120  31.00 130.88
HR00238 15072120  31.15 130.50
HR00239 15072121  31.30 130.50
HR00240 15072200  30.25 130.56
HR00241 15072201  31.20 130.31
HR00241 15072202  31.20 130.38
HR00242 15072202  31.10 130.88
HR00242 15072203  31.10 130.94
HR00243 15072204  31.15 131.12
HR00244 15072202  33.55 133.69
HR00244 15072203  33.65 133.75
HR00245 15072205  23.55 122.25
HR00246 15072209  33.65 135.19
HR00246 15072210  33.80 135.25
HR00247 15072211  23.45 122.88
HR00247 15072212  23.45 122.88
HR00247 15072213  23.50 122.94
HR00248 15072315  41.85 146.75
HR00249 15072316  41.85 146.81
HR00249 15072317  42.10 146.94
HR00250 15072318  41.65 146.88
HR00251 15072514  39.50 140.75
HR00252 15072517  26.80 128.25
HR00252 15072518  26.80 128.25
HR00253 15072520  27.70 128.75
HR00253 15072521  27.70 128.75
HR00253 15072522  27.75 128.88
HR00253 15072523  27.75 128.88
HR00253 15072600  27.75 128.94
HR00254 15072520  27.05 128.12
HR00254 15072521  27.40 127.81
HR00255 15072602  27.65 128.94
HR00255 15072603  27.65 128.88
HR00255 15072604  27.65 128.88
HR00256 15072612  22.50 125.69
HR00256 15072613  22.50 125.62
HR00257 15072704  22.70 124.00
HR00257 15072705  22.75 124.12
HR00257 15072706  22.75 124.19
HR00257 15072707  22.60 124.06
HR00257 15072708  22.60 124.00
HR00258 15072709  22.60 124.06
HR00259 15072705  31.20 130.94
HR00259 15072706  31.25 131.00
HR00259 15072707  31.25 130.94
HR00259 15072708  31.25 130.88
HR00259 15072709  31.25 130.88
HR00260 15072705  29.95 129.06
HR00261 15072706  30.95 130.50
HR00262 15072709  23.15 123.00
HR00262 15072710  23.15 122.69
HR00263 15080100  43.95 142.94
HR00263 15080101  43.90 143.00
HR00264 15080802  24.30 124.12
HR00264 15080803  24.30 124.06
HR00264 15080804  24.10 123.75
HR00264 15080805  24.10 123.75
HR00265 15080808  24.35 123.06
HR00265 15080809  24.45 123.12
HR00265 15080810  24.55 123.06
HR00266 15080900  23.05 121.75
HR00266 15080901  23.25 121.88
HR00266 15080902  23.25 121.88
HR00266 15080903  23.30 121.88
HR00267 15080908  24.55 121.94
HR00267 15080909  24.45 121.88
HR00267 15080910  24.15 121.75
HR00267 15080911  24.15 121.75
HR00267 15080912  24.50 121.81
HR00267 15080913  24.50 121.81
HR00267 15080914  24.35 121.88
HR00267 15080915  24.50 121.94
HR00268 15081021  43.35 144.94
HR00268 15081022  43.35 144.94
HR00268 15081023  43.25 145.00
HR00269 15081122  34.15 128.69
HR00269 15081123  34.15 128.69
HR00270 15081123  33.95 128.19
HR00271 15081200  34.15 128.56
HR00271 15081201  34.15 128.56
HR00272 15081206  32.75 128.75
HR00272 15081207  32.80 128.94
HR00273 15081208  32.80 129.19
HR00274 15081209  32.90 129.62
HR00274 15081210  32.80 129.94
HR00274 15081211  32.80 129.94
HR00274 15081212  32.90 130.06
HR00275 15081206  33.30 129.38
HR00275 15081207  33.30 129.38
HR00276 15081216  41.60 144.69
HR00277 15081305  31.70 134.62
HR00277 15081306  31.75 135.00
HR00278 15081406  29.40 127.50
HR00278 15081407  29.40 127.50
HR00279 15081410  36.05 130.56
HR00279 15081411  35.95 130.69
HR00279 15081412  35.85 130.88
HR00280 15081412  35.65 130.50
HR00280 15081413  35.45 130.50
HR00281 15081416  25.45 126.00
HR00281 15081417  25.45 126.00
HR00282 15081420  38.25 135.38
HR00283 15081504  30.85 134.06
HR00284 15081506  31.80 134.00
HR00285 15081507  32.00 134.38
HR00285 15081508  32.00 135.75
HR00285 15081508  31.65 134.00
HR00286 15081507  31.95 135.62
HR00287 15081509  31.90 136.25
HR00289 15081507  30.75 135.50
HR00290 15081512  31.80 136.19
HR00290 15081513  31.85 136.38
HR00290 15081514  31.85 136.38
HR00291 15081607  31.90 132.62
HR00291 15081607  32.05 133.69
HR00291 15081608  32.00 133.69
HR00293 15081605  31.85 132.88
HR00294 15081606  31.90 132.88
HR00295 15081606  31.85 133.19
HR00296 15081606  27.95 126.19
HR00297 15081607  28.00 126.44
HR00297 15081608  27.90 126.44
HR00298 15081607  32.55 140.25
HR00299 15081609  27.45 125.56
HR00299 15081610  27.45 125.88
HR00300 15081617  33.50 127.44
HR00301 15081618  33.60 127.75
HR00302 15081701  33.50 127.88
HR00302 15081702  33.45 127.88
HR00302 15081703  33.45 127.94
HR00302 15081704  33.45 128.06
HR00303 15081702  34.10 136.25
HR00304 15081703  34.90 136.56
HR00304 15081704  35.05 136.62
HR00304 15081705  35.05 136.62
HR00304 15081706  35.10 136.75
HR00305 15081704  34.70 131.19
HR00305 15081705  34.70 131.19
HR00306 15081707  35.80 137.12
HR00306 15081708  35.85 137.12
HR00306 15081709  35.90 137.12
HR00307 15081707  30.80 129.94
HR00307 15081708  30.75 129.88
HR00308 15081707  25.75 125.69
HR00308 15081708  25.75 125.69
HR00308 15081709  25.70 125.88
HR00309 15081710  25.70 125.88
HR00310 15081710  25.95 122.50
HR00310 15081711  25.95 122.56
HR00310 15081712  25.95 122.69
HR00310 15081713  25.90 122.31
HR00311 15081714  25.80 122.50
HR00312 15081712  34.50 132.81
HR00313 15081718  24.75 126.94
HR00313 15081719  24.65 126.94
HR00314 15081802  39.10 141.88
HR00314 15081803  39.25 142.00
HR00315 15081809  32.85 136.38
HR00315 15081810  32.90 136.31
HR00315 15081811  32.90 136.38
HR00316 15081812  32.75 135.75
HR00316 15081813  32.75 135.75
HR00316 15081814  32.75 135.75
HR00317 15081907  32.20 129.25
HR00317 15081908  32.20 129.31
HR00318 15081910  31.95 129.38
HR00319 15082022  37.20 132.94
HR00320 15082105  34.55 127.62
HR00320 15082106  34.55 127.62
HR00320 15082107  34.45 127.81
HR00321 15082108  34.50 127.94
HR00321 15082109  34.50 128.00
HR00321 15082110  34.40 128.19
HR00322 15082107  35.00 130.00
HR00322 15082108  35.00 130.00
HR00322 15082109  35.05 130.06
HR00322 15082110  35.10 130.19
HR00322 15082111  35.15 130.31
HR00322 15082112  34.95 130.00
HR00323 15082113  34.90 130.12
HR00324 15082114  34.90 130.12
HR00325 15082320  24.20 124.06
HR00326 15082323  24.35 124.19
HR00327 15082403  22.65 124.00
HR00328 15082404  22.65 124.00
HR00329 15082412  25.80 126.44
HR00330 15082412  26.20 126.25
HR00331 15082413  31.65 131.62
HR00332 15082422  32.20 131.56
HR00332 15082423  32.30 131.44
HR00332 15082500  32.45 131.44
HR00333 15082501  31.20 130.88
HR00333 15082502  31.20 130.94
HR00333 15082503  31.20 130.88
HR00333 15082504  31.20 130.88
HR00334 15082505  31.50 130.81
HR00335 15082503  32.10 131.19
HR00335 15082504  32.10 131.19
HR00335 15082505  32.10 130.94
HR00335 15082506  32.10 130.94
HR00336 15082507  32.45 131.00
HR00337 15082503  25.65 129.81
HR00338 15082504  31.60 129.69
HR00338 15082505  31.60 129.69
HR00338 15082506  32.40 130.06
HR00339 15082507  32.45 130.06
HR00340 15082505  32.90 131.88
HR00341 15082507  33.45 133.06
HR00341 15082508  33.50 133.06
HR00341 15082509  33.55 133.06
HR00342 15082507  33.25 130.81
HR00343 15082508  33.05 130.88
HR00344 15082509  34.05 130.88
HR00344 15082510  34.35 130.88
HR00344 15082511  34.35 131.12
HR00345 15082509  33.05 130.88
HR00346 15082512  34.60 131.12
HR00347 15082508  33.70 134.12
HR00347 15082509  33.85 134.12
HR00347 15082510  33.85 134.19
HR00348 15082509  34.15 132.12
HR00348 15082510  34.30 131.88
HR00348 15082511  34.10 131.81
HR00348 15082512  34.10 131.81
HR00349 15082513  34.35 132.19
HR00350 15082513  34.15 136.19
HR00350 15082514  34.20 136.19
HR00350 15082515  34.20 136.19
HR00350 15082516  34.20 136.19
HR00350 15082517  34.25 136.19
HR00350 15082518  34.20 136.12
HR00350 15082519  34.20 136.12
HR00350 15082520  34.20 136.12
HR00350 15082521  34.35 136.31
HR00350 15082522  34.45 136.38
HR00350 15082523  34.65 136.56
HR00350 15082600  34.70 136.62
HR00350 15082601  34.85 136.62
HR00351 15082513  33.75 134.25
HR00351 15082514  33.75 134.25
HR00351 15082515  33.70 134.25
HR00352 15082602  25.60 128.94
HR00353 15082818  24.70 122.12
HR00354 15082913  31.35 131.81
HR00355 15082915  26.00 124.25
HR00356 15082916  31.80 130.00
HR00356 15082917  31.85 130.06
HR00356 15082918  31.85 130.06
HR00357 15082918  32.00 130.44
HR00358 15082923  32.70 132.81
HR00358 15083000  32.75 132.81
HR00358 15083001  32.75 132.88
HR00359 15083000  26.15 123.62
HR00359 15083001  26.20 123.69
HR00360 15083006  26.30 124.62
HR00360 15083007  26.25 124.56
HR00360 15083008  26.60 125.00
HR00362 15083003  25.55 123.81
HR00363 15083004  26.05 124.25
HR00364 15083004  25.55 123.81
HR00364 15083005  26.30 124.56
HR00365 15083005  25.50 123.81
HR00366 15083005  27.25 125.62
HR00366 15083006  27.25 125.62
HR00367 15083007  33.50 135.56
HR00368 15083009  34.60 137.81
HR00369 15083010  34.70 138.06
HR00370 15083017  25.45 123.56
HR00371 15083023  31.25 128.94
HR00372 15083100  31.30 129.00
HR00373 15083105  29.55 127.06
HR00373 15083106  29.55 127.06
HR00374 15083123  32.70 132.19
HR00374 15090100  32.75 132.19
HR00375 15090101  32.80 132.25
HR00375 15090102  32.70 132.06
HR00376 15090102  33.90 129.00
HR00377 15090103  34.00 129.06
HR00377 15090104  34.50 129.50
HR00377 15090105  34.50 129.50
HR00378 15090109  34.40 137.81
HR00379 15090200  26.15 122.12
HR00380 15090201  26.55 122.31
HR00381 15090208  29.50 127.06
HR00381 15090209  29.50 127.12
HR00381 15090210  29.50 127.25
HR00382 15090211  29.50 127.31
HR00383 15090209  40.45 145.50
HR00383 15090210  40.50 145.56
HR00384 15090213  26.20 125.00
HR00384 15090214  26.20 125.00
HR00385 15090216  42.65 141.56
HR00386 15090221  24.30 122.12
HR00387 15090309  28.05 126.25
HR00388 15090314  33.10 136.50
HR00389 15090403  32.05 136.00
HR00389 15090404  31.95 135.50
HR00389 15090405  31.95 135.56
HR00390 15090404  31.45 135.62
HR00390 15090405  31.50 135.62
HR00390 15090406  31.55 135.75
HR00391 15090407  33.35 137.81
HR00391 15090408  33.35 138.12
HR00391 15090409  33.35 138.12
HR00391 15090410  33.35 138.12
HR00392 15090412  32.00 139.12
HR00392 15090413  32.00 139.12
HR00393 15090507  26.45 130.06
HR00394 15090518  31.55 127.12
HR00395 15090607  31.35 130.56
HR00396 15090608  31.40 130.88
HR00397 15090609  31.40 130.88
HR00398 15090609  28.00 126.50
HR00398 15090610  28.00 126.50
HR00399 15090609  30.45 130.94
HR00400 15090610  30.45 130.94
HR00401 15090610  27.15 125.38
HR00401 15090611  27.15 125.38
HR00401 15090612  27.05 125.50
HR00402 15090613  26.60 122.88
HR00402 15090614  26.50 123.12
HR00402 15090615  26.45 123.12
HR00402 15090616  26.40 123.31
HR00402 15090617  26.35 122.94
HR00402 15090618  26.35 123.00
HR00402 15090619  26.35 122.88
HR00402 15090620  26.40 122.69
HR00402 15090621  26.40 122.69
HR00403 15090613  26.50 124.38
HR00403 15090614  26.50 124.38
HR00403 15090615  26.50 124.44
HR00404 15090620  33.85 135.44
HR00405 15090621  25.75 122.50
HR00406 15090622  25.60 122.56
HR00407 15090623  25.55 122.69
HR00408 15090621  33.90 136.38
HR00409 15090622  33.95 136.44
HR00410 15090623  34.10 136.69
HR00411 15090701  25.50 126.25
HR00411 15090702  25.50 125.94
HR00411 15090703  25.50 125.94
HR00412 15090715  33.15 137.25
HR00412 15090716  33.15 137.25
HR00413 15090803  34.10 138.94
